Price,Close,High,Low,Open,Volume,Return,Date
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,
Date,,,,,,,
2017-01-20,2271.31005859375,2276.9599609375,2265.010009765625,2269.9599609375,3536850000,,2017-01-20
2017-01-23,2265.199951171875,2271.780029296875,2257.02001953125,2267.780029296875,3155240000,-0.002690124758069401,2017-01-23
2017-01-24,2280.070068359375,2284.6298828125,2266.679931640625,2267.8798828125,3816950000,0.006564593637664151,2017-01-24
2017-01-25,2298.3701171875,2299.550048828125,2288.8798828125,2288.8798828125,3849340000,0.008026090549617448,2017-01-25
2017-01-26,2296.679931640625,2300.989990234375,2294.080078125,2298.6298828125,3611510000,-0.0007353844075136395,2017-01-26
2017-01-27,2294.68994140625,2299.02001953125,2291.6201171875,2299.02001953125,3137420000,-0.000866463892926328,2017-01-27
2017-01-30,2280.89990234375,2286.010009765625,2268.0400390625,2286.010009765625,3595040000,-0.006009543517695892,2017-01-30
2017-01-31,2278.8701171875,2279.090087890625,2267.2099609375,2274.02001953125,4089730000,-0.0008899054071440649,2017-01-31
2017-02-01,2279.550048828125,2289.139892578125,2272.43994140625,2285.590087890625,3919190000,0.00029836348965073256,2017-02-01
2017-02-02,2280.85009765625,2283.969970703125,2271.64990234375,2276.68994140625,3809760000,0.0005703094032936118,2017-02-02
2017-02-03,2297.419921875,2298.31005859375,2287.8798828125,2288.5400390625,3605970000,0.007264758098647794,2017-02-03
2017-02-06,2292.56005859375,2296.179931640625,2288.570068359375,2294.280029296875,3112390000,-0.002115356985885164,2017-02-06
2017-02-07,2293.080078125,2299.39990234375,2290.159912109375,2295.8701171875,3452460000,0.00022682918569594257,2017-02-07
2017-02-08,2294.669921875,2295.909912109375,2285.3798828125,2289.550048828125,3611950000,0.0006933223855400961,2017-02-08
2017-02-09,2307.8701171875,2311.080078125,2296.610107421875,2296.699951171875,3681600000,0.005752546449780516,2017-02-09
2017-02-10,2316.10009765625,2319.22998046875,2311.10009765625,2312.27001953125,3496600000,0.003566050102845164,2017-02-10
2017-02-13,2328.25,2331.580078125,2321.419921875,2321.719970703125,3352370000,0.005245845097992419,2017-02-13
2017-02-14,2337.580078125,2337.580078125,2322.169921875,2326.1201171875,3528040000,0.004007335176634763,2017-02-14
2017-02-15,2349.25,2351.300048828125,2334.81005859375,2335.580078125,3785870000,0.004992308919898214,2017-02-15
2017-02-16,2347.219970703125,2351.31005859375,2338.8701171875,2349.639892578125,3675900000,-0.0008641180363413437,2017-02-16
2017-02-17,2351.159912109375,2351.159912109375,2339.580078125,2343.010009765625,3516830000,0.0016785565287558146,2017-02-17
2017-02-21,2365.3798828125,2366.7099609375,2354.909912109375,2354.909912109375,3587520000,0.006048066160828425,2017-02-21
2017-02-22,2362.820068359375,2365.1298828125,2358.340087890625,2361.110107421875,3473170000,-0.001082200145408052,2017-02-22
